CaseNum,STATUS,PROGRAM,TIME,cDATE,SITE,EB1,EB2,EB3,EB4,EB5,EB6,EB7,EB8,EB9,EB10,EB11,EB12,EB13,EB14,EB15,EB16,EB17,EB18,EB19,EB20,EB21,EB22,EB23,EB24,EB25,EB26,EB27,EH1,EH2,EH3,EH4,EH5,EH6,EH7,EH8,EH9,EH10,EH11,EH12,EH13,EH14,EH15,EH16,EH17,EH18,EH19,EH20,EH21,EH22,EH23,EH24,SS1,SS2,SS3,SS4,SS5,SS6,SS7,SS8,SS9,SS10,SS11,SS12,SS13,SS14,SS15,R1,R2,SEF1,SEF2,SEF3,SEF4,SEF5,SEF6,SEF7,SEF8,GR1,GR2,GR3,GR4,GR5,GR6,GR7,GR8,SPR1,SPR2,SPR3,SPR4,SPR5,SPR6,SPR7,SPR8,SPR9,SPR10,SPR11,SPR12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,Employed,FULLPART,YearsEmployed,MonthsEmployed,DaysEmployed,HourlyWage,HealthInsurance,Pension,PayBills,Children,Adults,Earners,HouseIncome,Welfare,MaritalStatus,Housing,HopeFuture,Life1Month,Life6Months,Life1Year,Life5Years,Age,YearBorn,Gender,Race,YearsSchool,EDULevel,YearsJobTrain
1,0,1,1,2013.10.9,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,10,7,10,10,10,10,9,10,10,7,10,10,10,10,10,10,10,10,10,10,10,10,10,8,4,2,4,4,5,5,4,1,2,4,2,1,4,4,77,4,4,5,4,5,5,5,5,5,5,1,5,1,5,1,1,4,5,0,10,0,10,0,10,1,1,4,4,4,4,1,4,4,4,1,1,7,1,7,1,7,1,1,7,1,4,1,7,1,7,1,6,1,7,0,0,1,0,3,2,41000,0,2,0,1,2,2,2,2,19,1993,1,3,12,2,1
1,0,1,2,2012.6.16,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,4,5,4,5,5,4,4,4,5,5,3,3,3,77,4,4,5,5,5,5,5,5,5,5,2,3,2,4,2,2,4,4,8,8,8,8,8,8,3,2,2,3,3,3,2,2,3,2,2,3,4,4,6,2,5,4,2,6,2,6,4,6,4,5,2,5,2,6,1,0,0,0,2,1,26000,0,4,0,1,2,2,2,2,42,1970,1,2,99,3,12
1,0,1,3,2013.4.15,2,1,1,1,1,3,5,1,1,2,1,1,1,1,1,3,3,3,5,5,1,1,3,1,4,1,1,1,8,8,7,8,8,5,5,8,5,5,7,5,8,8,7,10,8,7,7,5,8,7,7,8,3,1,1,5,1,1,3,1,3,1,4,1,4,2,3,3,4,3,4,4,3,4,4,4,4,3,4,3,4,2,2,3,4,2,5,5,7,4,7,2,1,3,2,3,3,3,3,3,4,2,2,5,5,4,4,5,3,1,5,1,5,1,5,4,5,3,5,2,6,1,99,0,3,1,1,6000,1,2,0,1,1,3,3,3,28,1984,1,2,12,3,2
1,0,1,4,2012.4.12,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,8,10,10,10,10,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,3,2,2,3,3,2,2,2,2,3,3,2,5,2,5,4,4,5,5,5,5,5,5,4,5,3,3,2,5,2,3,4,5,10,1,10,0,10,0,1,1,4,4,4,4,1,1,4,4,1,1,7,4,7,1,7,2,1,6,3,4,2,7,1,6,1,7,1,7,77,77,0,1,2,1,10000,1,0,0,77,77,77,77,77,25,1986,1,4,0,1,1
2,0,1,1,2012.1.10,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,5,10,10,10,8,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,99,10,10,4,1,1,2,2,2,2,2,5,5,5,1,3,3,77,3,1,5,5,5,5,5,5,4,4,3,2,2,5,2,2,3,5,6,1,9,1,8,2,1,1,3,3,4,4,1,2,4,4,1,1,6,3,6,2,5,2,1,7,1,4,2,6,3,6,2,4,5,6,77,77,0,1,2,99,999,0,0,1,1,1,2,2,2,99,99,99,99,99,99,99
2,0,1,2,2012.11.20,2,1,1,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,4,10,10,10,10,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,2,2,4,4,5,5,3,4,5,5,2,4,4,5,4,4,5,5,5,5,5,5,4,5,5,4,5,4,4,5,3,3,3,0,3,7,4,10,1,1,4,1,4,4,1,4,4,4,1,1,7,2,6,1,6,1,4,6,4,3,4,6,2,4,4,5,2,6,77,77,1,1,2,1,13000,1,0,0,1,1,2,2,2,25,1986,1,4,0,1,0
2,0,1,3,2014.2.27,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,6,10,10,10,10,6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,3,3,3,3,3,3,4,3,3,3,4,2,3,2,1,4,4,5,5,5,4,4,4,4,4,4,3,4,5,4,4,99,5,6,6,6,5,5,5,1,1,4,4,3,4,1,1,3,4,1,1,6,4,6,2,7,2,2,7,2,6,2,6,4,6,3,6,4,6,77,77,1,1,2,1,15000,1,0,0,1,1,2,2,2,27,1986,1,4,1,2,0
2,0,1,4,2012.1.20,2,1,1,1,3,1,1,1,5,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,5,1,3,99,1,3,1,99,1,1,1,1,1,1,2,4,5,5,5,5,5,5,5,5,3,3,3,4,4,4,5,5,3,3,3,4,5,5,2,2,3,3,2,2,3,2,2,2,3,3,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,77,77,99,99,99,99,999,99,2,99,1,99,99,99,99,99,99,99,99,99,99,99
3,0,1,1,2012.4.12,2,5,5,5,4,5,5,5,3,4,4,3,5,5,3,4,4,3,2,3,3,3,5,3,3,3,3,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,4,1,2,3,3,3,2,1,3,1,1,4,2,2,3,3,4,5,5,5,5,4,4,4,2,4,2,5,3,4,5,5,1,9,0,9,1,10,2,2,2,3,3,4,1,1,3,4,1,1,3,1,5,2,6,1,1,4,1,5,1,6,1,5,1,6,2,6,77,77,0,0,2,1,99,1,4,0,77,77,77,77,77,33,1978,0,99,99,1,3
3,0,1,2,2012.1.20,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,4,3,3,3,3,3,3,3,3,3,3,3,3,77,4,4,5,5,5,5,5,5,5,5,2,5,2,5,2,2,5,5,1,9,2,9,1,9,1,1,1,4,4,4,2,1,4,4,1,1,5,3,6,3,3,3,2,6,2,5,2,6,2,5,2,1,1,7,77,77,99,0,2,1,999,99,4,0,1,1,2,2,2,99,99,99,99,99,99,99
